,Momentum_Score,Weight
CRIN IS Equity,4.248385998655438,3.163607960184647
BSE IS Equity,3.5041285447369948,6.810963058679421
MAZDOCKS IS Equity,3.3335179573586204,2.3864418220038672
BAF IS Equity,3.1606947830330183,4.999999999999999
SBICARD IS Equity,2.8772793710952485,1.6841859410831046
INDIGO IS Equity,2.7859536017354793,7.1295464643622175
SRCM IS Equity,2.776241227370645,6.207307546811753
JKCE IS Equity,2.7101011371031065,1.3180390522806145
KIMS IS Equity,2.6106899184342645,1.1491287039055
PAYTM IS Equity,2.5572217290215598,1.6240979810997918
SOIL IS Equity,2.5052979396073836,2.2903804292568086
GP IS Equity,2.4742128444178157,1.2552183393450143
KMB IS Equity,2.3864697515778133,4.999999999999999
BJHI IS Equity,2.3679939158640924,3.576552187849016
HDFCB IS Equity,2.3621144933292006,4.999999999999999
UPLL IS Equity,2.352521944282911,2.0844081975448776
BHARTI IS Equity,2.3444089809760076,4.999999999999999
ICICIBC IS Equity,2.342916397539,4.999999999999999
BJFIN IS Equity,2.300404347938145,6.3340568048243435
SRF IS Equity,2.2948753510122373,2.0314180948972926
DIVI IS Equity,2.2582255294422207,4.017643249887521
REDI IS Equity,2.2128079255469566,0.972898722546481
CIFC IS Equity,2.162196675165129,3.9462384190409456
MRCO IS Equity,2.1434337708797733,1.976725747051962
CHOLAHLD IS Equity,2.087844291704855,1.0523863997463458
DIXON IS Equity,2.0817884047118946,3.1479460040534932
COFORGE IS Equity,2.0462015904698507,2.8205340721404655
TVSL IS Equity,2.020955136592835,3.528768854265338
RDCK IS Equity,2.002766767465757,1.0109123334683572
TATACONS IS Equity,1.9734791872364537,3.4805936136708175
